,user,text,favorite_count,retweet_count,created_at
129,POTUS,We’re doing everything we can to reduce the pain at the pump. https://t.co/RVyKoFkVyd,6770,1269,2022-11-30 21:55:30+00:00
130,POTUS,"I am proud to have re-launched this convening of Tribal nations and elevated it into the White House Tribal Nations Summit.
 
On my watch, we're ushering in a new era of advancing the way the federal government works with Tribal nations. https://t.co/NmcM8ATOal",8682,1670,2022-11-30 21:33:04+00:00
131,POTUS,"Committing to our relationships with Tribal nations means appointing Native Americans to lead from the frontlines of this Administration, making historic investments in Indian Country.

And showing up, in person.

That's why I'll make an official visit to Indian Country in 2023.",9948,1848,2022-11-30 20:30:00+00:00
132,POTUS,"My commitment to Tribal nations is respect.

Respect for Tribes as nations – and treaties as law.
Respect for Indigenous knowledge and Tribal consultation.
And respect for Tribal sovereignty, self-government, and self-determination.",10976,2293,2022-11-30 19:30:00+00:00
133,POTUS,"I'm grateful to Speaker Pelosi and bipartisan House members for acting to prevent a rail shutdown, making clear it would devastate our economy and families everywhere.

But without more action, supply chain disruptions will begin.

The Senate must urgently send a bill to my desk.",15060,2654,2022-11-30 18:58:09+00:00
134,POTUS,Tune in as I deliver remarks at the White House Tribal Nations Summit. https://t.co/WgVmUNfeI3,3470,804,2022-11-30 16:57:02+00:00
135,POTUS,"Gas prices are down, domestic production is up, and we’ve rallied the world to release oil to address a gas price hike inflamed by Russia’s unprovoked war on Ukraine.
 
All while continuing to power our historic economic and jobs growth.",24905,4969,2022-11-30 15:00:00+00:00
136,POTUS,"We're working with companies, community colleges, technical schools, and union-led apprentice and training programs to make sure all American workers – with or without a college degree – are prepared to compete with anyone in the world.",9527,1987,2022-11-30 14:15:00+00:00
137,POTUS,"America’s exports are up, we’ve added jobs every single month of my presidency, and more than 700,000 of those new jobs are in manufacturing.
 
With more to come.",19283,3790,2022-11-30 13:00:00+00:00
138,POTUS,"Big wins mean big announcements. Way to go, @USMNT. https://t.co/tLXLYwN6pY",28138,3294,2022-11-30 03:02:09+00:00
